"","GEOID","NAME","variable","estimate","moe"
"2985","53063","Spokane County, Washington","B15003_022",61222,1461
"2986","53065","Stevens County, Washington","B15003_022",3539,365
"2987","53067","Thurston County, Washington","B15003_022",40434,1446
"2988","53069","Wahkiakum County, Washington","B15003_022",283,75
"2989","53071","Walla Walla County, Washington","B15003_022",7069,570
"2990","53073","Whatcom County, Washington","B15003_022",31019,1155
"2991","53075","Whitman County, Washington","B15003_022",5727,383
"2992","53077","Yakima County, Washington","B15003_022",14665,798
"2993","54001","Barbour County, West Virginia","B15003_022",1102,227
"2994","54003","Berkeley County, West Virginia","B15003_022",10250,809
"2995","54005","Boone County, West Virginia","B15003_022",739,149
"2996","54007","Braxton County, West Virginia","B15003_022",1117,233
"2997","54009","Brooke County, West Virginia","B15003_022",2070,247
"2998","54011","Cabell County, West Virginia","B15003_022",8961,667
"2999","54013","Calhoun County, West Virginia","B15003_022",430,129
"3000","54015","Clay County, West Virginia","B15003_022",316,118
"3001","54017","Doddridge County, West Virginia","B15003_022",602,204
"3002","54019","Fayette County, West Virginia","B15003_022",3281,520
"3003","54021","Gilmer County, West Virginia","B15003_022",517,102
"3004","54023","Grant County, West Virginia","B15003_022",720,160
"3005","54025","Greenbrier County, West Virginia","B15003_022",3298,372
"3006","54027","Hampshire County, West Virginia","B15003_022",1322,238
"3007","54029","Hancock County, West Virginia","B15003_022",2602,299
"3008","54031","Hardy County, West Virginia","B15003_022",934,233
"3009","54033","Harrison County, West Virginia","B15003_022",6986,489
"3010","54035","Jackson County, West Virginia","B15003_022",2089,365
"3011","54037","Jefferson County, West Virginia","B15003_022",7161,513
"3012","54039","Kanawha County, West Virginia","B15003_022",19988,820
"3013","54041","Lewis County, West Virginia","B15003_022",1061,191
"3014","54043","Lincoln County, West Virginia","B15003_022",940,247
"3015","54045","Logan County, West Virginia","B15003_022",1304,224
"3016","54047","McDowell County, West Virginia","B15003_022",437,97
"3017","54049","Marion County, West Virginia","B15003_022",5352,414
"3018","54051","Marshall County, West Virginia","B15003_022",2546,303
"3019","54053","Mason County, West Virginia","B15003_022",1534,369
"3020","54055","Mercer County, West Virginia","B15003_022",5646,529
"3021","54057","Mineral County, West Virginia","B15003_022",1436,253
"3022","54059","Mingo County, West Virginia","B15003_022",927,174
"3023","54061","Monongalia County, West Virginia","B15003_022",13055,696
"3024","54063","Monroe County, West Virginia","B15003_022",923,208
"3025","54065","Morgan County, West Virginia","B15003_022",1306,232
"3026","54067","Nicholas County, West Virginia","B15003_022",1632,288
"3027","54069","Ohio County, West Virginia","B15003_022",5687,386
"3028","54071","Pendleton County, West Virginia","B15003_022",354,82
"3029","54073","Pleasants County, West Virginia","B15003_022",416,105
"3030","54075","Pocahontas County, West Virginia","B15003_022",699,148
"3031","54077","Preston County, West Virginia","B15003_022",2096,294
"3032","54079","Putnam County, West Virginia","B15003_022",5997,558
"3033","54081","Raleigh County, West Virginia","B15003_022",6721,566
"3034","54083","Randolph County, West Virginia","B15003_022",1998,247
"3035","54085","Ritchie County, West Virginia","B15003_022",363,104
"3036","54087","Roane County, West Virginia","B15003_022",719,184
"3037","54089","Summers County, West Virginia","B15003_022",847,203
"3038","54091","Taylor County, West Virginia","B15003_022",1632,228
"3039","54093","Tucker County, West Virginia","B15003_022",446,122
"3040","54095","Tyler County, West Virginia","B15003_022",613,133
"3041","54097","Upshur County, West Virginia","B15003_022",1805,251
"3042","54099","Wayne County, West Virginia","B15003_022",2216,299
"3043","54101","Webster County, West Virginia","B15003_022",351,113
"3044","54103","Wetzel County, West Virginia","B15003_022",791,152
"3045","54105","Wirt County, West Virginia","B15003_022",153,68
"3046","54107","Wood County, West Virginia","B15003_022",8074,664
"3047","54109","Wyoming County, West Virginia","B15003_022",861,198
"3048","55001","Adams County, Wisconsin","B15003_022",1293,149
"3049","55003","Ashland County, Wisconsin","B15003_022",1430,160
"3050","55005","Barron County, Wisconsin","B15003_022",4091,291
"3051","55007","Bayfield County, Wisconsin","B15003_022",2248,140
"3052","55009","Brown County, Wisconsin","B15003_022",35638,1129
"3053","55011","Buffalo County, Wisconsin","B15003_022",1159,81
"3054","55013","Burnett County, Wisconsin","B15003_022",1447,124
"3055","55015","Calumet County, Wisconsin","B15003_022",7158,389
